# computational time on a Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (no multithread) = 1830.2142710769986 s
# time	SickNumber
0.00000000000000	164
0.00500000000000	167
0.01000000000000	172
0.01500000000000	184
0.02000000000000	193
0.02500000000000	200
0.03000000000000	206
0.03500000000000	220
0.04000000000000	234
0.04500000000000	247
0.05000000000000	259
0.05500000000000	275
0.06000000000000	300
0.06500000000000	316
0.07000000000000	339
0.07500000000000	356
0.08000000000000	372
0.08500000000000	390
0.09000000000000	408
0.09500000000000	422
0.10000000000000	436
0.10500000000000	455
0.11000000000000	473
0.11500000000000	487
0.12000000000000	500
0.12500000000000	522
0.13000000000000	544
0.13500000000000	567
0.14000000000000	582
0.14500000000000	596
0.15000000000000	606
0.15500000000000	632
0.16000000000000	648
0.16500000000000	669
0.17000000000000	688
0.17500000000000	712
0.18000000000000	737
0.18500000000000	759
0.19000000000000	787
0.19500000000000	803
0.20000000000000	820
0.20500000000000	838
0.21000000000000	857
0.21500000000000	873
0.22000000000000	889
0.22500000000000	908
0.23000000000000	924
0.23500000000000	936
0.24000000000000	952
0.24500000000000	973
0.25000000000000	1000
0.25500000000000	1024
0.26000000000000	1035
0.26500000000000	1059
0.27000000000000	1073
0.27500000000000	1097
0.28000000000000	1117
0.28500000000000	1131
0.29000000000000	1149
0.29500000000000	1163
0.30000000000000	1192
0.30500000000000	1211
0.31000000000000	1225
0.31500000000000	1237
0.32000000000000	1256
0.32500000000000	1269
0.33000000000000	1281
0.33500000000000	1289
0.34000000000000	1295
0.34500000000000	1302
0.35000000000000	1310
0.35500000000000	1321
0.36000000000000	1326
0.36500000000000	1340
0.37000000000000	1352
0.37500000000000	1364
0.38000000000000	1371
0.38500000000000	1374
0.39000000000000	1380
0.39500000000000	1385
0.40000000000000	1395
0.40500000000000	1396
0.41000000000000	1404
0.41500000000000	1410
0.42000000000000	1411
0.42500000000000	1416
0.43000000000000	1417
0.43500000000000	1423
0.44000000000000	1427
0.44500000000000	1432
0.45000000000000	1437
0.45500000000000	1442
0.46000000000000	1446
0.46500000000000	1449
0.47000000000000	1451
0.47500000000000	1454
0.48000000000000	1460
0.48500000000000	1465
0.49000000000000	1468
0.49500000000000	1469
0.50000000000000	1471
0.50500000000000	1476
0.51000000000000	1482
0.51500000000000	1483
0.52000000000000	1486
0.52500000000000	1488
0.53000000000000	1489
0.53500000000000	1491
0.54000000000000	1492
0.54500000000000	1493
0.55000000000000	1496
0.55500000000000	1496
0.56000000000000	1496
0.56500000000000	1496
0.57000000000000	1498
0.57500000000000	1499
0.58000000000000	1500
0.58500000000000	1500
0.59000000000000	1502
0.59500000000000	1503
0.60000000000000	1503
0.60500000000000	1503
0.61000000000000	1503
0.61500000000000	1503
0.62000000000000	1505
0.62500000000000	1506
0.63000000000000	1506
0.63500000000000	1506
0.64000000000000	1507
0.64500000000000	1507
0.65000000000000	1507
0.65500000000000	1507
0.66000000000000	1507
0.66500000000000	1507
0.67000000000000	1507
0.67500000000000	1508
0.68000000000000	1509
0.68500000000000	1509
0.69000000000000	1511
0.69500000000000	1511
0.70000000000000	1511
0.70500000000000	1511
0.71000000000000	1511
0.71500000000000	1511
0.72000000000000	1512
0.72500000000000	1513
0.73000000000000	1513
0.73500000000000	1514
0.74000000000000	1515
0.74500000000000	1515
0.75000000000000	1516
0.75500000000000	1516
0.76000000000000	1516
0.76500000000000	1516
0.77000000000000	1516
0.77500000000000	1516
0.78000000000000	1517
0.78500000000000	1517
0.79000000000000	1518
0.79500000000000	1518
0.80000000000000	1519
0.80500000000000	1519
0.81000000000000	1519
0.81500000000000	1519
0.82000000000000	1520
0.82500000000000	1520
0.83000000000000	1520
0.83500000000000	1520
0.84000000000000	1520
0.84500000000000	1520
0.85000000000000	1520
0.85500000000000	1520
0.86000000000000	1521
0.86500000000000	1521
0.87000000000000	1521
0.87500000000000	1521
0.88000000000000	1521
0.88500000000000	1521
0.89000000000000	1521
0.89500000000000	1521
0.90000000000000	1521
0.90500000000000	1521
0.91000000000000	1521
0.91500000000000	1521
0.92000000000000	1521
0.92500000000000	1521
0.93000000000000	1521
0.93500000000000	1521
0.94000000000000	1521
0.94500000000000	1521
0.95000000000000	1521
0.95500000000000	1521
0.96000000000000	1521
0.96500000000000	1521
0.97000000000000	1521
0.97500000000000	1521
0.98000000000000	1521
0.98500000000000	1521
0.99000000000000	1521
0.99500000000000	1521
1.00000000000000	1521
1.00500000000000	1521
1.01000000000000	1521
1.01500000000000	1521
1.02000000000000	1521
1.02500000000000	1521
1.03000000000000	1521
1.03500000000000	1521
1.04000000000000	1521
1.04500000000000	1521
1.05000000000000	1521
1.05500000000000	1521
1.06000000000000	1521
1.06500000000000	1521
1.07000000000000	1521
1.07500000000000	1521
1.08000000000000	1521
1.08500000000000	1521
1.09000000000000	1521
1.09500000000000	1521
1.10000000000000	1521
1.10500000000000	1521
1.11000000000000	1521
1.11500000000000	1521
1.12000000000000	1521
1.12500000000000	1521
1.13000000000000	1521
1.13500000000000	1521
1.14000000000000	1521
1.14500000000000	1521
1.15000000000000	1521
1.15500000000000	1521
1.16000000000000	1521
1.16500000000000	1521
1.17000000000000	1521
1.17500000000000	1521
1.18000000000000	1521
1.18500000000000	1521
1.19000000000000	1521
1.19500000000000	1521
1.20000000000000	1521
1.20500000000000	1521
1.21000000000000	1521
1.21500000000000	1521
1.22000000000000	1521
1.22500000000000	1521
1.23000000000000	1521
1.23500000000000	1521
1.24000000000000	1521
1.24500000000000	1521
